customer_id,segment_name,recency_days,frequency_180d,monetary_180d,r_score,f_score,m_score,sessions_30d,campaign_clicks_30d,ticket_count_90d,return_rate_180d,avg_discount_pct_180d,category_diversity_180d,manual_priority_bucket
CUST00099,Mixed Watchlist,144,2.0,1471.51,2,3,4,4,2,0.0,0.0,0.10500000000000001,1.0,high
CUST00100,Mixed Watchlist,70,1.0,372.37,3,1,1,1,0,0.0,0.0,0.29,1.0,high
CUST00101,Dormant At-Risk,108,2.0,1240.21,2,3,4,2,0,0.0,0.0,0.255,2.0,high
CUST00102,Mixed Watchlist,83,1.0,732.65,3,1,3,2,0,0.0,0.0,0.16,1.0,high
CUST00103,Growth Potential,21,1.0,1469.96,4,1,4,6,1,0.0,0.0,0.08,1.0,low
CUST00104,Mixed Watchlist,93,1.0,955.63,2,1,3,3,0,0.0,0.0,0.31,1.0,high
CUST00105,Mixed Watchlist,46,1.0,2052.43,4,1,5,1,0,0.0,0.0,0.18,1.0,high
CUST00106,Mixed Watchlist,61,1.0,436.15,3,1,2,5,0,0.0,0.0,0.24,1.0,medium
CUST00107,Loyal Core,12,2.0,1658.13,5,3,4,2,0,0.0,0.0,0.125,2.0,low
CUST00108,Service Recovery,44,1.0,1074.5,4,1,3,5,0,1.0,1.0,0.22,1.0,medium
CUST00109,Dormant At-Risk,92,2.0,1622.28,2,3,4,1,1,0.0,0.0,0.255,2.0,high
CUST00110,Loyal Core,35,3.0,2424.8,4,5,5,4,0,2.0,0.0,0.2333333333333333,2.0,medium
CUST00111,Mixed Watchlist,178,1.0,1135.09,1,1,3,3,0,0.0,0.0,0.23,1.0,high
CUST00112,Champions,0,4.0,2225.98,5,5,5,4,0,0.0,0.0,0.3,3.0,low
CUST00113,Loyal Core,28,2.0,1601.31,4,3,4,17,0,0.0,0.0,0.385,2.0,low
CUST00114,Mixed Watchlist,239,0.0,0.0,1,1,1,3,1,0.0,0.0,0.0,0.0,high
CUST00115,Mixed Watchlist,159,1.0,596.54,1,1,2,12,2,0.0,0.0,0.14,1.0,high
CUST00116,Mixed Watchlist,143,1.0,452.08,2,1,2,10,2,0.0,0.0,0.27,1.0,high
CUST00117,Dormant At-Risk,123,2.0,1268.88,2,3,4,2,0,0.0,0.0,0.28,2.0,high
CUST00118,Mixed Watchlist,27,1.0,689.56,4,1,2,2,0,0.0,0.0,0.18,1.0,low
CUST00119,Service Recovery,69,1.0,2019.98,3,1,5,12,0,1.0,0.0,0.25,1.0,medium
CUST00120,Mixed Watchlist,26,1.0,261.95,4,1,1,6,0,0.0,0.0,0.27,1.0,low
CUST00121,Loyal Core,27,2.0,2496.0299999999997,4,3,5,5,1,0.0,0.0,0.19,1.0,low
CUST00122,Discount-Sensitive,106,2.0,2048.93,2,3,5,10,4,0.0,0.0,0.36,2.0,high
CUST00123,Dormant At-Risk,102,4.0,2117.52,2,5,5,2,0,0.0,0.0,0.33499999999999996,3.0,high
CUST00124,Mixed Watchlist,194,0.0,0.0,1,1,1,5,0,0.0,0.0,0.0,0.0,high
CUST00125,Loyal Core,8,2.0,1698.4,5,3,4,0,1,0.0,0.0,0.395,2.0,low
CUST00126,Mixed Watchlist,57,1.0,919.95,3,1,3,5,0,0.0,0.0,0.6,1.0,medium
CUST00127,Loyal Core,24,2.0,729.55,4,3,3,3,0,0.0,0.0,0.29500000000000004,1.0,low
CUST00128,Loyal Core,19,2.0,1716.68,5,3,4,15,0,0.0,0.0,0.42000000000000004,1.0,low
CUST00129,Service Recovery,83,3.0,3369.08,3,5,5,7,0,1.0,0.3333333333333333,0.3133333333333333,2.0,high
CUST00130,Mixed Watchlist,88,1.0,1272.47,2,1,4,9,0,0.0,0.0,0.48,1.0,high
CUST00131,Mixed Watchlist,67,1.0,2157.15,3,1,5,4,0,0.0,0.0,0.17,1.0,medium
CUST00132,Dormant At-Risk,117,1.0,1621.76,2,1,4,1,0,0.0,0.0,0.18,1.0,high
CUST00133,Discount-Sensitive,54,6.0,4776.26,3,5,5,5,1,0.0,0.0,0.365,3.0,medium
CUST00134,Loyal Core,35,2.0,1527.1100000000001,4,3,4,11,0,0.0,0.5,0.3,2.0,low
CUST00135,Mixed Watchlist,333,0.0,0.0,1,1,1,3,1,0.0,0.0,0.0,0.0,high
CUST00136,Mixed Watchlist,71,1.0,514.9,3,1,2,7,0,0.0,0.0,0.3,1.0,medium
CUST00137,Mixed Watchlist,177,2.0,1035.87,1,3,3,4,0,0.0,0.0,0.315,2.0,high
CUST00138,Discount-Sensitive,61,1.0,905.11,3,1,3,5,1,0.0,0.0,0.46,1.0,medium
CUST00139,Loyal Core,28,2.0,1715.4,4,3,4,5,0,2.0,0.0,0.295,2.0,medium
CUST00140,Champions,6,3.0,3416.05,5,5,5,14,0,1.0,0.0,0.24666666666666667,3.0,medium
CUST00141,Growth Potential,28,1.0,647.85,4,1,2,4,1,0.0,0.0,0.23,1.0,low
CUST00142,Dormant At-Risk,169,1.0,369.26,1,1,1,2,0,0.0,0.0,0.37,1.0,high
CUST00143,Champions,32,3.0,4028.8,4,5,5,5,1,0.0,0.0,0.14,3.0,low
CUST00144,Service Recovery,86,2.0,928.5799999999999,2,3,3,8,2,1.0,0.0,0.29500000000000004,2.0,high
CUST00145,Mixed Watchlist,30,1.0,502.35,4,1,2,0,0,0.0,0.0,0.11,1.0,high
CUST00146,Mixed Watchlist,108,1.0,986.21,2,1,3,4,1,0.0,0.0,0.31,1.0,high
CUST00147,Mixed Watchlist,84,3.0,2809.3199999999997,3,5,5,1,0,0.0,0.0,0.18333333333333335,2.0,high
CUST00148,Champions,4,3.0,1990.51,5,5,5,5,1,0.0,0.0,0.25,3.0,low
CUST00149,Growth Potential,8,1.0,787.94,5,1,3,8,0,0.0,0.0,0.2,1.0,low
CUST00150,Loyal Core,45,2.0,1008.65,4,3,3,6,2,0.0,0.0,0.375,2.0,medium
CUST00151,Mixed Watchlist,62,3.0,2844.17,3,5,5,7,0,0.0,0.0,0.17333333333333334,2.0,medium
CUST00152,Loyal Core,46,3.0,2730.26,4,5,5,19,3,3.0,0.0,0.3666666666666667,2.0,medium
CUST00153,Mixed Watchlist,3,1.0,977.12,5,1,3,6,0,0.0,0.0,0.37,1.0,low
CUST00154,Champions,10,4.0,3935.38,5,5,5,8,0,0.0,0.0,0.24,4.0,low
CUST00155,Champions,2,3.0,2024.8,5,5,5,6,0,0.0,0.0,0.39666666666666667,2.0,low
CUST00156,Loyal Core,34,2.0,4241.75,4,3,5,14,0,1.0,0.5,0.14500000000000002,1.0,medium
CUST00157,Growth Potential,0,1.0,376.83,5,1,2,3,1,0.0,0.0,0.22,1.0,low
CUST00158,Mixed Watchlist,155,1.0,812.34,1,1,3,8,1,0.0,0.0,0.25,1.0,high
CUST00159,Dormant At-Risk,474,0.0,0.0,1,1,1,0,0,0.0,0.0,0.0,0.0,high
CUST00160,Mixed Watchlist,177,1.0,433.18,1,1,2,4,0,0.0,0.0,0.23,1.0,high
CUST00161,Champions,20,3.0,1738.05,5,5,4,7,1,0.0,0.0,0.29333333333333333,2.0,low
CUST00162,Dormant At-Risk,91,2.0,1194.5900000000001,2,3,4,2,0,0.0,0.0,0.29000000000000004,1.0,high
CUST00163,Discount-Sensitive,70,1.0,275.41,3,1,1,3,2,0.0,0.0,0.37,1.0,medium
CUST00164,Dormant At-Risk,222,0.0,0.0,1,1,1,1,0,0.0,0.0,0.0,0.0,high
CUST00165,Dormant At-Risk,103,3.0,1825.77,2,5,4,2,0,0.0,0.0,0.31,1.0,high
CUST00166,Mixed Watchlist,15,1.0,1269.41,5,1,4,1,0,1.0,0.0,0.37,1.0,high
CUST00167,Dormant At-Risk,219,0.0,0.0,1,1,1,0,1,0.0,0.0,0.0,0.0,high
CUST00168,Mixed Watchlist,85,2.0,2194.9300000000003,3,3,5,2,0,0.0,0.0,0.01,2.0,high
CUST00169,Dormant At-Risk,222,0.0,0.0,1,1,1,1,0,0.0,0.0,0.0,0.0,high
CUST00170,Loyal Core,9,2.0,1708.2199999999998,5,3,4,5,0,0.0,0.0,0.22,1.0,low
CUST00171,Growth Potential,12,1.0,1077.78,5,1,3,9,0,0.0,0.0,0.38,1.0,low
CUST00172,Growth Potential,8,1.0,1366.0,5,1,4,5,2,1.0,0.0,0.39,1.0,medium
CUST00173,Mixed Watchlist,79,1.0,225.12,3,1,1,10,0,0.0,0.0,0.27,1.0,high
CUST00174,Mixed Watchlist,86,1.0,168.97,2,1,1,14,0,0.0,0.0,0.42,1.0,high
CUST00175,Mixed Watchlist,59,2.0,1378.77,3,3,4,5,0,0.0,0.0,0.21,2.0,medium
CUST00176,Champions,37,3.0,3830.31,4,5,5,12,0,0.0,0.0,0.3433333333333333,3.0,medium
CUST00177,Mixed Watchlist,82,1.0,255.04,3,1,1,12,0,0.0,0.0,0.42,1.0,high
CUST00178,Loyal Core,5,2.0,1583.88,5,3,4,10,0,2.0,1.0,0.165,2.0,medium
CUST00179,Loyal Core,38,3.0,1585.62,4,5,4,11,2,2.0,0.0,0.44333333333333336,2.0,medium
CUST00180,Service Recovery,96,2.0,1570.85,2,3,4,9,0,0.0,0.5,0.26,1.0,high
CUST00181,Growth Potential,6,1.0,1107.73,5,1,3,7,1,0.0,0.0,0.0,1.0,low
CUST00182,Growth Potential,31,1.0,305.3,4,1,1,12,0,0.0,0.0,0.31,1.0,low
CUST00183,Dormant At-Risk,152,1.0,1689.98,1,1,4,1,1,0.0,0.0,0.18,1.0,high
CUST00184,Champions,14,3.0,2456.91,5,5,5,6,0,0.0,0.0,0.2866666666666667,2.0,low
CUST00185,Mixed Watchlist,114,2.0,866.52,2,3,3,11,1,0.0,0.0,0.315,2.0,high
CUST00186,Service Recovery,41,1.0,714.65,4,1,3,2,0,1.0,0.0,0.33,1.0,medium
CUST00187,Dormant At-Risk,149,1.0,491.11,1,1,2,0,1,0.0,0.0,0.5,1.0,high
CUST00188,Loyal Core,29,2.0,1880.31,4,3,4,11,0,1.0,0.0,0.23,2.0,medium
CUST00189,Mixed Watchlist,140,1.0,574.39,2,1,2,10,0,0.0,0.0,0.32,1.0,high
CUST00190,Service Recovery,6,1.0,482.88,5,1,2,6,0,1.0,0.0,0.13,1.0,medium
CUST00191,Mixed Watchlist,28,1.0,149.0,4,1,1,6,0,0.0,0.0,0.34,1.0,low
CUST00192,Mixed Watchlist,55,3.0,2263.95,3,5,5,8,1,0.0,0.0,0.28,3.0,medium
CUST00193,Mixed Watchlist,157,1.0,424.74,1,1,2,3,2,0.0,0.0,0.21,1.0,high
CUST00194,Discount-Sensitive,80,3.0,2967.67,3,5,5,13,3,1.0,0.3333333333333333,0.4066666666666667,2.0,high
CUST00195,Service Recovery,23,1.0,654.27,4,1,2,5,0,1.0,0.0,0.17,1.0,medium
CUST00196,Loyal Core,24,2.0,1272.38,4,3,4,1,0,1.0,0.0,0.28,2.0,medium
CUST00197,Loyal Core,15,2.0,2989.16,5,3,5,11,0,1.0,0.0,0.305,2.0,medium
CUST00198,Champions,37,4.0,4324.83,4,5,5,1,1,0.0,0.0,0.2725,2.0,medium
CUST00199,Champions,6,4.0,3273.56,5,5,5,3,0,1.0,0.0,0.22749999999999998,4.0,medium
CUST00200,Champions,15,3.0,3726.66,5,5,5,7,4,0.0,0.0,0.12333333333333334,3.0,low
CUST00201,Mixed Watchlist,93,1.0,598.21,2,1,2,3,0,1.0,0.0,0.14,1.0,high
CUST00202,Mixed Watchlist,141,1.0,1220.26,2,1,4,9,1,0.0,0.0,0.33,1.0,high
CUST00203,Mixed Watchlist,114,2.0,743.3499999999999,2,3,3,6,0,0.0,0.0,0.39,2.0,high
CUST00204,Growth Potential,42,1.0,519.21,4,1,2,17,0,0.0,0.0,0.28,1.0,medium
CUST00205,Champions,30,3.0,1548.05,4,5,4,13,0,0.0,0.0,0.25,3.0,low
CUST00206,Discount-Sensitive,118,2.0,831.29,2,3,3,7,2,0.0,0.0,0.375,2.0,high
CUST00207,Growth Potential,18,1.0,193.1,5,1,1,11,2,0.0,0.0,0.62,1.0,low
CUST00208,Service Recovery,91,4.0,3282.2999999999997,2,5,5,2,1,1.0,0.0,0.18,3.0,high
CUST00209,Mixed Watchlist,279,0.0,0.0,1,1,1,3,0,0.0,0.0,0.0,0.0,high
CUST00210,Mixed Watchlist,128,1.0,409.67,2,1,2,3,0,0.0,0.0,0.41,1.0,high
CUST00211,Mixed Watchlist,90,2.0,3032.55,2,3,5,4,0,0.0,0.0,0.38,2.0,high
CUST00212,Mixed Watchlist,204,0.0,0.0,1,1,1,3,1,0.0,0.0,0.0,0.0,high
CUST00213,Service Recovery,86,1.0,1266.34,2,1,4,2,0,1.0,1.0,0.09,1.0,high
CUST00214,Mixed Watchlist,64,1.0,1427.16,3,1,4,3,0,0.0,0.0,0.22,1.0,medium
CUST00215,Growth Potential,34,1.0,646.51,4,1,2,8,2,0.0,0.0,0.01,1.0,low
CUST00216,Service Recovery,48,1.0,1349.42,3,1,4,7,0,1.0,1.0,0.27,1.0,medium
CUST00217,Mixed Watchlist,79,2.0,861.1800000000001,3,3,3,2,0,0.0,0.0,0.36,1.0,high
CUST00218,Mixed Watchlist,23,1.0,713.95,4,1,3,1,0,0.0,0.0,0.11,1.0,high
CUST00219,Mixed Watchlist,154,2.0,1225.24,1,3,4,3,1,0.0,0.0,0.47,2.0,high
CUST00220,Loyal Core,25,2.0,745.67,4,3,3,14,2,1.0,0.0,0.19,2.0,medium
CUST00221,Loyal Core,7,2.0,781.03,5,3,3,16,2,0.0,0.0,0.345,2.0,low
CUST00222,Dormant At-Risk,186,0.0,0.0,1,1,1,1,0,0.0,0.0,0.0,0.0,high
CUST00223,Dormant At-Risk,103,1.0,757.58,2,1,3,1,0,0.0,0.0,0.53,1.0,high
CUST00224,Discount-Sensitive,89,1.0,747.2,2,1,3,1,1,0.0,0.0,0.4,1.0,high
CUST00225,Mixed Watchlist,88,2.0,2563.85,2,3,5,3,0,0.0,0.0,0.33499999999999996,2.0,high
CUST00226,Service Recovery,54,3.0,2345.42,3,5,5,6,0,1.0,0.3333333333333333,0.15666666666666668,1.0,medium
CUST00227,Dormant At-Risk,153,1.0,1070.42,1,1,3,0,0,0.0,0.0,0.37,1.0,high
CUST00228,Mixed Watchlist,82,3.0,1343.2,3,5,4,6,2,0.0,0.0,0.33,3.0,high
CUST00229,Mixed Watchlist,92,1.0,558.95,2,1,2,8,0,0.0,0.0,0.17,1.0,high
CUST00230,Champions,37,6.0,6235.96,4,5,5,17,1,0.0,0.0,0.21833333333333335,3.0,medium
CUST00231,Mixed Watchlist,23,1.0,397.92,4,1,2,6,0,0.0,0.0,0.29,1.0,low
CUST00232,Mixed Watchlist,55,1.0,786.26,3,1,3,2,0,0.0,0.0,0.33,1.0,medium
CUST00233,Mixed Watchlist,361,0.0,0.0,1,1,1,5,1,0.0,0.0,0.0,0.0,high
CUST00234,Loyal Core,17,2.0,1421.1,5,3,4,6,0,0.0,0.0,0.135,2.0,low
CUST00235,Dormant At-Risk,125,1.0,556.26,2,1,2,2,0,0.0,0.0,0.34,1.0,high
CUST00236,Mixed Watchlist,62,1.0,782.89,3,1,3,8,0,1.0,0.0,0.37,1.0,medium
CUST00237,Champions,15,4.0,3607.29,5,5,5,8,1,0.0,0.0,0.2525,2.0,low
CUST00238,Mixed Watchlist,78,1.0,643.9,3,1,2,1,0,1.0,0.0,0.33,1.0,high
CUST00239,Mixed Watchlist,320,0.0,0.0,1,1,1,4,0,0.0,0.0,0.0,0.0,high
CUST00240,Service Recovery,56,2.0,2277.31,3,3,5,4,0,1.0,0.0,0.18,2.0,medium
CUST00241,Loyal Core,6,2.0,2710.9300000000003,5,3,5,12,1,0.0,0.0,0.37,2.0,low
CUST00242,Mixed Watchlist,82,3.0,2195.42,3,5,5,11,5,0.0,0.0,0.31666666666666665,2.0,high
CUST00243,Service Recovery,69,1.0,444.6,3,1,2,3,0,1.0,1.0,0.43,1.0,medium
CUST00244,Dormant At-Risk,144,2.0,2449.86,2,3,5,1,0,0.0,0.0,0.22499999999999998,1.0,high
CUST00245,Discount-Sensitive,73,2.0,1245.78,3,3,4,6,4,0.0,0.0,0.36,2.0,medium
CUST00246,Service Recovery,52,2.0,852.1000000000001,3,3,3,6,1,1.0,0.0,0.24,2.0,medium
CUST00247,Discount-Sensitive,57,2.0,937.3199999999999,3,3,3,5,2,0.0,0.0,0.5,1.0,medium
CUST00248,Mixed Watchlist,71,3.0,1182.12,3,5,4,2,0,0.0,0.0,0.31,3.0,medium
CUST00249,Mixed Watchlist,162,1.0,244.33,1,1,1,5,1,0.0,0.0,0.38,1.0,high
CUST00250,Mixed Watchlist,35,1.0,837.19,4,1,3,6,0,0.0,0.0,0.3,1.0,low
CUST00251,Growth Potential,41,1.0,966.73,4,1,3,14,0,1.0,1.0,0.37,1.0,medium
CUST00252,Mixed Watchlist,190,0.0,0.0,1,1,1,4,2,0.0,0.0,0.0,0.0,high
CUST00253,Mixed Watchlist,191,0.0,0.0,1,1,1,3,1,0.0,0.0,0.0,0.0,high
